GameID,FileName,Platform,Genre,Size,DownloadLink,CoverArtLink
PC-3E6217D9,"Fur Fighters (Europe) (En,Fr,De,Es).chd",PC / Sega Dreamcast,General,731.56 MB,"https://archive.org/download/sega-dreamcast-redump-collection/Fur Fighters (Europe) (En,Fr,De,Es).chd",https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Fur%20Fighters.png
PC-9F650DC8,"Fur Fighters (USA) (En,Fr,De,Es) (Rev B).chd",PC / Sega Dreamcast,General,724.00 MB,"https://archive.org/download/sega-dreamcast-redump-collection/Fur Fighters (USA) (En,Fr,De,Es) (Rev B).chd",https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Fur%20Fighters.png
PC-84FC2328,Fur Fighters + Dead or Alive 2 (Europe) (Demo).chd,PC / Sega Dreamcast,General,130.93 MB,https://archive.org/download/sega-dreamcast-redump-collection/Fur Fighters + Dead or Alive 2 (Europe) (Demo).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Fur%20Fighters%20%2B%20Dead%20or%20Alive%202.png
PC-B3C73F38,Fushigi no Dungeon - Fuurai no Shiren Gaiden - Onna Kenshi Asuka Kenzan! (Japan).chd,PC / Sega Dreamcast,General,401.62 MB,https://archive.org/download/sega-dreamcast-redump-collection/Fushigi no Dungeon - Fuurai no Shiren Gaiden - Onna Kenshi Asuka Kenzan! (Japan).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Fushigi%20no%20Dungeon%20-%20Fuurai%20no%20Shiren%20Gaiden%20-%20Onna%20Kenshi%20Asuka%20Kenzan%21.png
PC-4E7994B3,GK - Giant Killers (Europe).chd,PC / Sega Dreamcast,General,146.28 MB,https://archive.org/download/sega-dreamcast-redump-collection/GK - Giant Killers (Europe).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/GK%20-%20Giant%20Killers.png
PC-0996B0F6,GaiaMaster - Kessen! Seiki-ou Densetsu (Japan).chd,PC / Sega Dreamcast,General,275.57 MB,https://archive.org/download/sega-dreamcast-redump-collection/GaiaMaster - Kessen! Seiki-ou Densetsu (Japan).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/GaiaMaster%20-%20Kessen%21%20Seiki-ou%20Densetsu.png
PC-EA02FD9D,Gakkyuu-ou Yamazaki - Yamazaki Oukoku Daifunsou! (Japan).chd,PC / Sega Dreamcast,General,377.75 MB,https://archive.org/download/sega-dreamcast-redump-collection/Gakkyuu-ou Yamazaki - Yamazaki Oukoku Daifunsou! (Japan).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Gakkyuu-ou%20Yamazaki%20-%20Yamazaki%20Oukoku%20Daifunsou%21.png
PC-C7A98B63,GameShark CDX (USA) (Unl) (Final Version).chd,PC / Sega Dreamcast,General,1.68 MB,https://archive.org/download/sega-dreamcast-redump-collection/GameShark CDX (USA) (Unl) (Final Version).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/GameShark%20CDX.png
PC-A4DA35F9,GameShark CDX (USA) (Unl).chd,PC / Sega Dreamcast,General,1.69 MB,https://archive.org/download/sega-dreamcast-redump-collection/GameShark CDX (USA) (Unl).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/GameShark%20CDX.png
PC-302B7BDA,GameShark Lite Version 4.0 (USA) (Unl).chd,PC / Sega Dreamcast,General,1.90 MB,https://archive.org/download/sega-dreamcast-redump-collection/GameShark Lite Version 4.0 (USA) (Unl).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/GameShark%20Lite%20Version%204.0.png
PC-AFFAF6E4,GameShark Video Game Enhancer - Upgrade Disk (USA) (Unl).chd,PC / Sega Dreamcast,General,1.90 MB,https://archive.org/download/sega-dreamcast-redump-collection/GameShark Video Game Enhancer - Upgrade Disk (USA) (Unl).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/GameShark%20Video%20Game%20Enhancer%20-%20Upgrade%20Disk.png
PC-FB4C668A,Ganbare! Nippon! Olympic 2000 (Japan).chd,PC / Sega Dreamcast,General,111.97 MB,https://archive.org/download/sega-dreamcast-redump-collection/Ganbare! Nippon! Olympic 2000 (Japan).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Ganbare%21%20Nippon%21%20Olympic%202000.png
PC-D9AB30C4,"Ganryu (USA, Japan) (Unl).chd",PC / Sega Dreamcast,General,23.81 MB,"https://archive.org/download/sega-dreamcast-redump-collection/Ganryu (USA, Japan) (Unl).chd",https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Ganryu.png
PC-543A0AAB,Garou - Mark of the Wolves (Japan).chd,PC / Sega Dreamcast,General,382.78 MB,https://archive.org/download/sega-dreamcast-redump-collection/Garou - Mark of the Wolves (Japan).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Garou%20-%20Mark%20of%20the%20Wolves.png
PC-DC9F5CD9,"Gauntlet Legends (Europe) (En,Fr,De).chd",PC / Sega Dreamcast,General,402.57 MB,"https://archive.org/download/sega-dreamcast-redump-collection/Gauntlet Legends (Europe) (En,Fr,De).chd",https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Gauntlet%20Legends.png
PC-707D46C7,Gauntlet Legends (USA).chd,PC / Sega Dreamcast,General,386.64 MB,https://archive.org/download/sega-dreamcast-redump-collection/Gauntlet Legends (USA).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Gauntlet%20Legends.png
PC-2B51F723,Generator Vol. 1 (Japan).chd,PC / Sega Dreamcast,General,645.39 MB,https://archive.org/download/sega-dreamcast-redump-collection/Generator Vol. 1 (Japan).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Generator%20Vol.%201.png
PC-71196521,Generator Vol. 1 (USA).chd,PC / Sega Dreamcast,General,645.39 MB,https://archive.org/download/sega-dreamcast-redump-collection/Generator Vol. 1 (USA).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Generator%20Vol.%201.png
PC-227D354E,Generator Vol. 2 (USA).chd,PC / Sega Dreamcast,General,657.25 MB,https://archive.org/download/sega-dreamcast-redump-collection/Generator Vol. 2 (USA).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Generator%20Vol.%202.png
PC-0FE81FBB,Get Bass (Japan) (Taikenban).chd,PC / Sega Dreamcast,General,49.08 MB,https://archive.org/download/sega-dreamcast-redump-collection/Get Bass (Japan) (Taikenban).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Get%20Bass.png
PC-14840C29,Get Bass (Japan).chd,PC / Sega Dreamcast,General,77.44 MB,https://archive.org/download/sega-dreamcast-redump-collection/Get Bass (Japan).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Get%20Bass.png
PC-60AEFF90,Get Bass 2 (Japan).chd,PC / Sega Dreamcast,General,249.98 MB,https://archive.org/download/sega-dreamcast-redump-collection/Get Bass 2 (Japan).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Get%20Bass%202.png
PC-523F1304,Get!! Colonies (Japan).chd,PC / Sega Dreamcast,General,284.37 MB,https://archive.org/download/sega-dreamcast-redump-collection/Get!! Colonies (Japan).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Get%21%21%20Colonies.png
PC-BC804168,Ghost Blade (Europe) (Unl) (Limited Edition).chd,PC / Sega Dreamcast,General,273.57 MB,https://archive.org/download/sega-dreamcast-redump-collection/Ghost Blade (Europe) (Unl) (Limited Edition).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Ghost%20Blade.png
PC-2932E374,"Ghost Blade (USA, Japan) (Unl) (Rerelease).chd",PC / Sega Dreamcast,General,272.65 MB,"https://archive.org/download/sega-dreamcast-redump-collection/Ghost Blade (USA, Japan) (Unl) (Rerelease).chd",https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Ghost%20Blade.png
PC-22B5A254,Giant Gram - Zen Nihon Pro Wres 2 in Nihon Budoukan (Japan).chd,PC / Sega Dreamcast,General,221.51 MB,https://archive.org/download/sega-dreamcast-redump-collection/Giant Gram - Zen Nihon Pro Wres 2 in Nihon Budoukan (Japan).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Giant%20Gram%20-%20Zen%20Nihon%20Pro%20Wres%202%20in%20Nihon%20Budoukan.png
PC-9ECD11B5,Giant Gram 2000 - Zen Nihon Pro Wres 3 Eikou no Yuusha-tachi (Japan).chd,PC / Sega Dreamcast,General,440.23 MB,https://archive.org/download/sega-dreamcast-redump-collection/Giant Gram 2000 - Zen Nihon Pro Wres 3 Eikou no Yuusha-tachi (Japan).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Giant%20Gram%202000%20-%20Zen%20Nihon%20Pro%20Wres%203%20Eikou%20no%20Yuusha-tachi.png
PC-35FE2079,Giant Killers (Europe) (Beta) (2001-01-09).chd,PC / Sega Dreamcast,General,148.89 MB,https://archive.org/download/sega-dreamcast-redump-collection/Giant Killers (Europe) (Beta) (2001-01-09).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Giant%20Killers.png
PC-B8C95EAB,GigaWing (Europe).chd,PC / Sega Dreamcast,General,228.32 MB,https://archive.org/download/sega-dreamcast-redump-collection/GigaWing (Europe).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/GigaWing.png
PC-EC987B66,GigaWing (Japan) (Tentou Taikenban).chd,PC / Sega Dreamcast,General,235.49 MB,https://archive.org/download/sega-dreamcast-redump-collection/GigaWing (Japan) (Tentou Taikenban).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/GigaWing.png
PC-E5220B8C,GigaWing (Japan).chd,PC / Sega Dreamcast,General,235.49 MB,https://archive.org/download/sega-dreamcast-redump-collection/GigaWing (Japan).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/GigaWing.png
PC-69BE9C55,GigaWing (USA).chd,PC / Sega Dreamcast,General,235.18 MB,https://archive.org/download/sega-dreamcast-redump-collection/GigaWing (USA).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/GigaWing.png
PC-40E2AAB7,GigaWing 2 (Japan) (Tentou Taikenban).chd,PC / Sega Dreamcast,General,167.72 MB,https://archive.org/download/sega-dreamcast-redump-collection/GigaWing 2 (Japan) (Tentou Taikenban).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/GigaWing%202.png
PC-D24119D0,GigaWing 2 (Japan).chd,PC / Sega Dreamcast,General,355.02 MB,https://archive.org/download/sega-dreamcast-redump-collection/GigaWing 2 (Japan).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/GigaWing%202.png
PC-F423BCD8,GigaWing 2 (USA).chd,PC / Sega Dreamcast,General,271.73 MB,https://archive.org/download/sega-dreamcast-redump-collection/GigaWing 2 (USA).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/GigaWing%202.png
PC-AAA69F41,Godzilla Generations (Japan).chd,PC / Sega Dreamcast,General,634.26 MB,https://archive.org/download/sega-dreamcast-redump-collection/Godzilla Generations (Japan).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Godzilla%20Generations.png
PC-E78F5127,Godzilla Generations - Maximum Impact (Japan).chd,PC / Sega Dreamcast,General,373.58 MB,https://archive.org/download/sega-dreamcast-redump-collection/Godzilla Generations - Maximum Impact (Japan).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Godzilla%20Generations%20-%20Maximum%20Impact.png
PC-A7A781AA,Golem no Maigo (Japan).chd,PC / Sega Dreamcast,General,215.93 MB,https://archive.org/download/sega-dreamcast-redump-collection/Golem no Maigo (Japan).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Golem%20no%20Maigo.png
PC-5F46D4BB,Golf Shiyou yo (Japan) (Rev A).chd,PC / Sega Dreamcast,General,380.58 MB,https://archive.org/download/sega-dreamcast-redump-collection/Golf Shiyou yo (Japan) (Rev A).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Golf%20Shiyou%20yo.png
PC-ADF69E5A,Golf Shiyou yo (Japan) (Rev B).chd,PC / Sega Dreamcast,General,380.11 MB,https://archive.org/download/sega-dreamcast-redump-collection/Golf Shiyou yo (Japan) (Rev B).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Golf%20Shiyou%20yo.png
PC-05170DFF,Golf Shiyou yo - Course Data-shuu - Adventure-hen (Japan).chd,PC / Sega Dreamcast,Adventure,377.73 MB,https://archive.org/download/sega-dreamcast-redump-collection/Golf Shiyou yo - Course Data-shuu - Adventure-hen (Japan).chd,https://thumbnails.libretro.com/Sega%20-%20Dreamcast/Named_Boxarts/Golf%20Shiyou%20yo%20-%20Course%20Data-shuu%20-%20Adventure-hen.png
